NOM FORMATION,NOM FORMATEUR,Workshop
Fondamentaux Python ,Yahia,"['00-Project-Input_and_Output_Strings.ipynb', '03-Project -Interactive_Calculations.ipynb', '05-Conversion.ipynb', '04-Project_LEET-Empty.ipynb', '01-Test_Exercises_lists-Empty.ipynb', '03-Project_Order_Input_Sequence-Empty.ipynb', '05-Project_Store-Empty.ipynb', '04-Project-Car_Ensurance.ipynb', '02-Project-Math_Game_and_Rock-Paper-Scissor_Game.ipynb', '03-Project-Jumbled_Game.ipynb', '06-Project-Capitals_and_Frequency_Count.ipynb', '04-Project-Hangman_Game.ipynb', '05-Project-Guess_Random_Number-Empty.ipynb', '04-Functions_and_Methods_Exercise.ipynb', '05-Project-Simple_Calculator-Empty.ipynb', '02-Milestone_Project_1.ipynb']"
Statistiques & Data Science Python,Zineb/Douaa,
Programmation Avancée Python ,Yahia,
Bases de données SQL  ,Douaa,
Interfaces Web & API,,
Web Scraping ,Zineb,
Bases de données NOSQL ,Douaa,
Data Preparation ,Zineb,
Data Visualization ,Douaa,
Elastic Search ,,
Streaming ETL,Zineb,
,,
Ecosysteme Hadoop,,
Data Analyse avec Spark ,,
Machine Learning ,Douaa/Zineb,
Deep Learning,Douaa/Zineb,
,,
,,
DevOps ,AYOUB,
Architecture Applications IA,,
Déploiement d'Applications IA,,
Fondamentaux Linux ,,
Cybersécurité ,Hajar,
Cloud AWS ,AYOUB,
Cloud AZURE ,,
Gestion de projet Data,,
RGPD ,Nabil ,
